PARAM,AVG_TIME,RUN,FAILED,NB_INSTANCES
1,125.3398111623667ms,1,0,1
1,56.82264776917761ms,2,0,1
1,50.22197202547082ms,3,0,1
10,86.55299082060765ms,1,1,1
10,124.78551189130248ms,2,0,1
10,153.45285761598646ms,3,1,1
20,120.6059020241883ms,1,1,1
20,142.37003796180042ms,2,1,1
20,113.77205951073398ms,3,1,1
50,462.0324510449064ms,1,1,2
50,107.97598622007563ms,2,1,3
50,103.46740906776475ms,3,1,4
100,84.60868707961903ms,1,1,4
100,79.41736802374585ms,2,1,4
100,88.87710313091029ms,3,1,4
1000,2631.3731521068626ms,1,1,12
1000,2495.0855773751227ms,2,1,12
1000,1527.54740092923ms,3,1,16
